Precinct Designation (Permanent),Early Votes,Votes Allowed,SubJurisidction,(Unused),Polling Place Votes,Contest Name,Precinct Name,Vote Total,Choice Name,Referendum Flag,Contest ID,Party Name,Provisional Votes,Polling Place Votes DS200,Early Votes DS200,Choice ID,Precinct ID (Election)
02,000000,00,,,000000,REGISTERED VOTERS - TOTAL,ALPINE,000360,REGISTERED VOTERS - TOTAL,,0001,,000000,000000,000000,001,0001
03,000000,00,,,000000,REGISTERED VOTERS - TOTAL,CANYON DE CHELLY,003664,REGISTERED VOTERS - TOTAL,,0001,,000000,000000,000000,001,0002
05,000000,00,,,000000,REGISTERED VOTERS - TOTAL,CHINLE,001850,REGISTERED VOTERS - TOTAL,,0001,,000000,000000,000000,001,0003
09,000000,00,,,000000,REGISTERED VOTERS - TOTAL,CONCHO,001782,REGISTERED VOTERS - TOTAL,,0001,,000000,000000,000000,001,0004
10,000000,00,,,000000,REGISTERED VOTERS - TOTAL,CORNFIELDS,000726,REGISTERED VOTERS - TOTAL,,0001,,000000,000000,000000,001,0005
11,000000,00,,,000000,REGISTERED VOTERS - TOTAL,COTTONWOOD,001372,REGISTERED VOTERS - TOTAL,,0001,,000000,000000,000000,001,0006
12,000000,00,,,000000,REGISTERED VOTERS - TOTAL,CORONADO,000838,REGISTERED VOTERS - TOTAL,,0001,,000000,000000,000000,001,0007
13,000000,00,,,000000,REGISTERED VOTERS - TOTAL,DENNEHOTSO,001037,REGISTERED VOTERS - TOTAL,,0001,,000000,000000,000000,001,0008
16,000000,00,,,000000,REGISTERED VOTERS - TOTAL,EAGAR,001152,REGISTERED VOTERS - TOTAL,,0001,,000000,000000,000000,001,0009
17,000000,00,,,000000,REGISTERED VOTERS - TOTAL,FLAT TOP,000841,REGISTERED VOTERS - TOTAL,,0001,,000000,000000,000000,001,0010
19,000000,00,,,000000,REGISTERED VOTERS - TOTAL,FT. DEFIANCE,002769,REGISTERED VOTERS - TOTAL,,0001,,000000,000000,000000,001,0011
22,000000,00,,,000000,REGISTERED VOTERS - TOTAL,GANADO NORTH,000755,REGISTERED VOTERS - TOTAL,,0001,,000000,000000,000000,001,0012
23,000000,00,,,000000,REGISTERED VOTERS - TOTAL,GANADO SOUTH,001201,REGISTERED VOTERS - TOTAL,,0001,,000000,000000,000000,001,0013
25,000000,00,,,000000,REGISTERED VOTERS - TOTAL,GREER,000145,REGISTERED VOTERS - TOTAL,,0001,,000000,000000,000000,001,0014
27,000000,00,,,000000,REGISTERED VOTERS - TOTAL,HOUCK,001101,REGISTERED VOTERS - TOTAL,,0001,,000000,000000,000000,001,0015
29,000000,00,,,000000,REGISTERED VOTERS - TOTAL,KINLICHEE,000988,REGISTERED VOTERS - TOTAL,,0001,,000000,000000,000000,001,0016
31,000000,00,,,000000,REGISTERED VOTERS - TOTAL,KLAGETOH,000854,REGISTERED VOTERS - TOTAL,,0001,,000000,000000,000000,001,0017
33,000000,00,,,000000,REGISTERED VOTERS - TOTAL,LUKACHUKAI,001785,REGISTERED VOTERS - TOTAL,,0001,,000000,000000,000000,001,0018
35,000000,00,,,000000,REGISTERED VOTERS - TOTAL,LUPTON,000663,REGISTERED VOTERS - TOTAL,,0001,,000000,000000,000000,001,0019
37,000000,00,,,000000,REGISTERED VOTERS - TOTAL,MCNARY,000188,REGISTERED VOTERS - TOTAL,,0001,,000000,000000,000000,001,0020
39,000000,00,,,000000,REGISTERED VOTERS - TOTAL,MANY FARMS,001824,REGISTERED VOTERS - TOTAL,,0001,,000000,000000,000000,001,0021
41,000000,00,,,000000,REGISTERED VOTERS - TOTAL,MEXICAN WATER,000244,REGISTERED VOTERS - TOTAL,,0001,,000000,000000,000000,001,0022
43,000000,00,,,000000,REGISTERED VOTERS - TOTAL,NAZLINI,001047,REGISTERED VOTERS - TOTAL,,0001,,000000,000000,000000,001,0023
45,000000,00,,,000000,REGISTERED VOTERS - TOTAL,NUTRIOSO,000325,REGISTERED VOTERS - TOTAL,,0001,,000000,000000,000000,001,0024
46,000000,00,,,000000,REGISTERED VOTERS - TOTAL,OAK SPRINGS,000465,REGISTERED VOTERS - TOTAL,,0001,,000000,000000,000000,001,0025
48,000000,00,T,,000000,REGISTERED VOTERS - TOTAL,PUERCO EAST & 49 PUERCO WES,001418,REGISTERED VOTERS - TOTAL,,0001,,000000,000000,000000,001,0026
51,000000,00,,,000000,REGISTERED VOTERS - TOTAL,RED MESA,000390,REGISTERED VOTERS - TOTAL,,0001,,000000,000000,000000,001,0027
52,000000,00,,,000000,REGISTERED VOTERS - TOTAL,RED VALLEY,000883,REGISTERED VOTERS - TOTAL,,0001,,000000,000000,000000,001,0028
54,000000,00,,,000000,REGISTERED VOTERS - TOTAL,ROCK POINT,001331,REGISTERED VOTERS - TOTAL,,0001,,000000,000000,000000,001,0029
56,000000,00,,,000000,REGISTERED VOTERS - TOTAL,ROUGH ROCK,000844,REGISTERED VOTERS - TOTAL,,0001,,000000,000000,000000,001,0030
58,000000,00,,,000000,REGISTERED VOTERS - TOTAL,ROUND ROCK,000944,REGISTERED VOTERS - TOTAL,,0001,,000000,000000,000000,001,0031
59,000000,00,,,000000,REGISTERED VOTERS - TOTAL,ROUND VALLEY,000698,REGISTERED VOTERS - TOTAL,,0001,,000000,000000,000000,001,0032
61,000000,00,,,000000,REGISTERED VOTERS - TOTAL,ST. JOHNS,001363,REGISTERED VOTERS - TOTAL,,0001,,000000,000000,000000,001,0033
65,000000,00,,,000000,REGISTERED VOTERS - TOTAL,ST. MICHAELS,001919,REGISTERED VOTERS - TOTAL,,0001,,000000,000000,000000,001,0034
67,000000,00,,,000000,REGISTERED VOTERS - TOTAL,SAWMILL,000698,REGISTERED VOTERS - TOTAL,,0001,,000000,000000,000000,001,0035
70,000000,00,,,000000,REGISTERED VOTERS - TOTAL,SPRINGERVILLE,000924,REGISTERED VOTERS - TOTAL,,0001,,000000,000000,000000,001,0036
74,000000,00,,,000000,REGISTERED VOTERS - TOTAL,STEAMBOAT,001264,REGISTERED VOTERS - TOTAL,,0001,,000000,000000,000000,001,0037
76,000000,00,,,000000,REGISTERED VOTERS - TOTAL,SWEETWATER,000772,REGISTERED VOTERS - TOTAL,,0001,,000000,000000,000000,001,0038
78,000000,00,,,000000,REGISTERED VOTERS - TOTAL,TACHEE,000647,REGISTERED VOTERS - TOTAL,,0001,,000000,000000,000000,001,0039
80,000000,00,,,000000,REGISTERED VOTERS - TOTAL,TEEC NOS POS,000873,REGISTERED VOTERS - TOTAL,,0001,,000000,000000,000000,001,0040
82,000000,00,,,000000,REGISTERED VOTERS - TOTAL,VERNON,001305,REGISTERED VOTERS - TOTAL,,0001,,000000,000000,000000,001,0041
84,000000,00,,,000000,REGISTERED VOTERS - TOTAL,WHEATFIELDS,001538,REGISTERED VOTERS - TOTAL,,0001,,000000,000000,000000,001,0042
86,000000,00,,,000000,REGISTERED VOTERS - TOTAL,WIDE RUINS,000735,REGISTERED VOTERS - TOTAL,,0001,,000000,000000,000000,001,0043
88,000000,00,,,000000,REGISTERED VOTERS - TOTAL,WINDOW ROCK,001718,REGISTERED VOTERS - TOTAL,,0001,,000000,000000,000000,001,0044
02,000214,00,,,000081,BALLOTS CAST - TOTAL,ALPINE,000301,BALLOTS CAST - TOTAL,,0002,,000006,000000,000000,001,0001
03,000784,00,,,000862,BALLOTS CAST - TOTAL,CANYON DE CHELLY,001750,BALLOTS CAST - TOTAL,,0002,,000104,000000,000000,001,0002
05,000447,00,,,000396,BALLOTS CAST - TOTAL,CHINLE,000884,BALLOTS CAST - TOTAL,,0002,,000041,000000,000000,001,0003
09,001033,00,,,000374,BALLOTS CAST - TOTAL,CONCHO,001457,BALLOTS CAST - TOTAL,,0002,,000050,000000,000000,001,0004
10,000109,00,,,000311,BALLOTS CAST - TOTAL,CORNFIELDS,000425,BALLOTS CAST - TOTAL,,0002,,000005,000000,000000,001,0005
11,000234,00,,,000472,BALLOTS CAST - TOTAL,COTTONWOOD,000736,BALLOTS CAST - TOTAL,,0002,,000030,000000,000000,001,0006
12,000391,00,,,000268,BALLOTS CAST - TOTAL,CORONADO,000683,BALLOTS CAST - TOTAL,,0002,,000024,000000,000000,001,0007
13,000081,00,,,000429,BALLOTS CAST - TOTAL,DENNEHOTSO,000526,BALLOTS CAST - TOTAL,,0002,,000016,000000,000000,001,0008
16,000612,00,,,000306,BALLOTS CAST - TOTAL,EAGAR,000955,BALLOTS CAST - TOTAL,,0002,,000037,000000,000000,001,0009
17,000400,00,,,000252,BALLOTS CAST - TOTAL,FLAT TOP,000672,BALLOTS CAST - TOTAL,,0002,,000020,000000,000000,001,0010
19,000864,00,,,000816,BALLOTS CAST - TOTAL,FT. DEFIANCE,001786,BALLOTS CAST - TOTAL,,0002,,000106,000000,000000,001,0011
22,000155,00,,,000225,BALLOTS CAST - TOTAL,GANADO NORTH,000401,BALLOTS CAST - TOTAL,,0002,,000021,000000,000000,001,0012
23,000227,00,,,000365,BALLOTS CAST - TOTAL,GANADO SOUTH,000625,BALLOTS CAST - TOTAL,,0002,,000033,000000,000000,001,0013
25,000091,00,,,000032,BALLOTS CAST - TOTAL,GREER,000123,BALLOTS CAST - TOTAL,,0002,,000000,000000,000000,001,0014
27,000265,00,,,000326,BALLOTS CAST - TOTAL,HOUCK,000609,BALLOTS CAST - TOTAL,,0002,,000018,000000,000000,001,0015
29,000176,00,,,000392,BALLOTS CAST - TOTAL,KINLICHEE,000636,BALLOTS CAST - TOTAL,,0002,,000068,000000,000000,001,0016
31,000160,00,,,000298,BALLOTS CAST - TOTAL,KLAGETOH,000499,BALLOTS CAST - TOTAL,,0002,,000041,000000,000000,001,0017
33,000213,00,,,000580,BALLOTS CAST - TOTAL,LUKACHUKAI,000875,BALLOTS CAST - TOTAL,,0002,,000082,000000,000000,001,0018
35,000100,00,,,000249,BALLOTS CAST - TOTAL,LUPTON,000358,BALLOTS CAST - TOTAL,,0002,,000009,000000,000000,001,0019
37,000017,00,,,000065,BALLOTS CAST - TOTAL,MCNARY,000090,BALLOTS CAST - TOTAL,,0002,,000008,000000,000000,001,0020
39,000357,00,,,000462,BALLOTS CAST - TOTAL,MANY FARMS,000876,BALLOTS CAST - TOTAL,,0002,,000057,000000,000000,001,0021
41,000030,00,,,000072,BALLOTS CAST - TOTAL,MEXICAN WATER,000109,BALLOTS CAST - TOTAL,,0002,,000007,000000,000000,001,0022
43,000228,00,,,000286,BALLOTS CAST - TOTAL,NAZLINI,000539,BALLOTS CAST - TOTAL,,0002,,000025,000000,000000,001,0023
45,000231,00,,,000054,BALLOTS CAST - TOTAL,NUTRIOSO,000290,BALLOTS CAST - TOTAL,,0002,,000005,000000,000000,001,0024
46,000124,00,,,000157,BALLOTS CAST - TOTAL,OAK SPRINGS,000289,BALLOTS CAST - TOTAL,,0002,,000008,000000,000000,001,0025
48,000352,00,T,,000396,BALLOTS CAST - TOTAL,PUERCO EAST & 49 PUERCO WES,000810,BALLOTS CAST - TOTAL,,0002,,000062,000000,000000,001,0026
51,000033,00,,,000089,BALLOTS CAST - TOTAL,RED MESA,000133,BALLOTS CAST - TOTAL,,0002,,000011,000000,000000,001,0027
